,Accident Type,Speed,Simple Injuries,Severe Injuries,Death,Road Lanes,Road Surfuce Description,Driver Licnesee Type,Light,Weather,City,Number of Cars,Driver Age,Driver Sex,Car,Year,Month
0,Collision,60.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Quebec City,2.0,28.0,Unkown,Vehicle,2018,1
1,Collision,60.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Quebec City,2.0,28.0,Male,Vehicle,2018,1
2,Collision,40.0,,0.0,0.0,Two ways,dry,Class 4,lighty night,clear,Toronto,2.0,39.0,Male,Truck,2018,1
3,Collision,40.0,,0.0,0.0,Two ways,dry,Class 3,lighty night,clear,Toronto,2.0,42.0,Male,Vehicle,2018,1
4,Collision,100.0,,0.0,0.0,Two ways with island,dry,Class 4,lighty night,clear,Quebec City,2.0,30.0,Male,Trailer,2018,1
5,Collision,100.0,,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Quebec City,2.0,30.0,Male,Vehicle,2018,1
6,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 6a,day,clear,Toronto,2.0,63.0,Male,Vehicle,2018,1
7,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,1
8,Collision,40.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,0.0,Male,Vehicle,2018,1
9,Collision,40.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,29.0,Male,Trailer,2018,1
10,Collision,60.0,,0.0,0.0,Two ways,wet,Class 3 auto,lighty night,clear,Hamilton,6.0,55.0,Male,Vehicle,2018,1
11,Collision,60.0,,0.0,0.0,Two ways,wet,Class 1,lighty night,clear,Hamilton,6.0,0.0,Unkown,Vehicle,2018,1
12,Collision,60.0,,0.0,0.0,Two ways,wet,Class 4,lighty night,clear,Hamilton,6.0,40.0,Male,Vehicle,2018,1
13,Collision,60.0,,0.0,0.0,Two ways,wet,Class 3,lighty night,clear,Hamilton,6.0,39.0,Male,Trailer,2018,1
14,Collision,60.0,,0.0,0.0,Two ways,wet,Class 1,lighty night,clear,Hamilton,6.0,0.0,Unkown,Trailer,2018,1
15,Collision,60.0,,0.0,0.0,Two ways,wet,Class 3,lighty night,clear,Hamilton,6.0,21.0,Unkown,Truck,2018,1
16,Collision,60.0,,0.0,0.0,Two ways,wet,Class 3,lighty night,clear,Hamilton,2.0,29.0,Unkown,Vehicle,2018,1
17,Collision,60.0,,0.0,0.0,Two ways,wet,Class 3,lighty night,clear,Hamilton,2.0,22.0,Male,Vehicle,2018,1
18,Trample,50.0,,0.0,0.0,Two ways,dry,Class 6a,dark night,clear,Hamilton,1.0,33.0,Male,Truck,2018,1
19,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Hamilton,2.0,18.0,Unkown,Truck,2018,1
20,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Hamilton,2.0,31.0,Male,Vehicle,2018,1
21,Collision,40.0,,0.0,0.0,Two ways,dry,Class 4,day,clear,Hamilton,2.0,39.0,Male,Vehicle,2018,1
22,Collision,40.0,,0.0,0.0,Two ways,dry,Class 6a,day,clear,Hamilton,2.0,54.0,Male,Van,2018,1
23,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,28.0,Male,Trailer,2018,1
24,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,37.0,Male,Trailer,2018,1
25,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,3.0,25.0,Male,Vehicle,2018,1
26,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,3.0,58.0,Male,Vehicle,2018,1
27,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 6b,day,clear,Toronto,3.0,30.0,Male,Trailer,2018,1
28,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 6b,day,clear,Kanata,2.0,33.0,Male,Trailer,2018,1
29,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 6b,day,clear,Kanata,2.0,36.0,Male,Trailer,2018,1
30,Collision,40.0,,0.0,0.0,Two ways,dry,Class 5,day,clear,Kanata,1.0,54.0,Male,Trailer,2018,1
31,Type-A,40.0,,0.0,0.0,Two ways,dry,Class 6a,day,clear,Orléans,1.0,51.0,Male,Trailer,2018,1
32,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 4,day,clear,Hamilton,2.0,40.0,Male,Vehicle,2018,1
33,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Hamilton,2.0,19.0,Unkown,Truck,2018,1
34,Collision,100.0,,0.0,0.0,Two ways,dry,Uknown driver,day,clear,Ottawa,2.0,118.0,Unkown,Vehicle,2018,1
35,Collision,100.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Ottawa,2.0,118.0,Unkown,Truck,2018,1
36,Collision,40.0,,0.0,0.0,One way,dry,Class 3,lighty night,clear,Quebec City,2.0,21.0,Unkown,Truck,2018,1
37,Collision,40.0,,0.0,0.0,One way,dry,Class 3,lighty night,clear,Quebec City,2.0,20.0,Unkown,Trailer,2018,1
38,Collision,40.0,,0.0,0.0,One way,dry,Class 3,day,clear,Toronto,1.0,57.0,Male,Vehicle,2018,1
39,Collision,80.0,,0.0,0.0,Two ways with island,wet,Class 3 auto,day,rain,Montreal,2.0,59.0,Male,Vehicle,2018,1
40,Collision,80.0,,0.0,0.0,Two ways with island,wet,Class 3,day,rain,Montreal,2.0,21.0,Female,Vehicle,2018,1
41,Collision,30.0,,0.0,0.0,Parking lot,dry,Class 3,dark night,rain,Toronto,1.0,61.0,Male,Vehicle,2018,1
42,Collision,50.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,2.0,51.0,Male,Vehicle,2018,1
43,Collision,50.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,2.0,27.0,Male,Vehicle,2018,1
44,Collision,30.0,,0.0,0.0,Parking lot,dry,Class 3,sunset,clear,Gatineau,1.0,28.0,Male,Vehicle,2018,1
45,Collision,40.0,,0.0,0.0,Two ways,dry,Class 4,dark night,clear,Ottawa,2.0,36.0,Male,Truck,2018,1
46,Collision,40.0,,0.0,0.0,Two ways,dry,Class 5,dark night,clear,Ottawa,2.0,46.0,Male,Truck,2018,1
47,Trample,60.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Mississauga,1.0,25.0,Male,Vehicle,2018,1
48,Collision,40.0,,0.0,0.0,Public Parks,dry,Class 3 auto,day,clear,Mississauga,2.0,35.0,Male,Vehicle,2018,1
49,Collision,40.0,,0.0,0.0,Public Parks,dry,Class 3,day,clear,Mississauga,2.0,39.0,Male,Vehicle,2018,1
50,Trample,60.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Mississauga,1.0,25.0,Male,Vehicle,2018,1
51,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 6b,day,clear,Ottawa,2.0,42.0,Male,Truck,2018,1
52,Collision,50.0,,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Ottawa,2.0,21.0,Male,Trailer,2018,1
53,Collision,60.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Barrhaven,2.0,0.0,Unkown,Trailer,2018,1
54,Collision,60.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Barrhaven,2.0,69.0,Male,Trailer,2018,1
55,Collision,40.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Barrhaven,2.0,22.0,Male,Vehicle,2018,1
56,Collision,40.0,,0.0,0.0,Two ways,dry,Class 3,day,clear,Barrhaven,2.0,53.0,Male,Vehicle,2018,1
57,Collision,60.0,,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Ottawa,2.0,44.0,Male,Vehicle,2018,1
